checkpoint_id,environment,selected,episode,seed,reward,length
cartpole_mse_lr0.0005_best,CartPole-v1,True,51,1050,296.0,296
cartpole_mse_lr0.0005_best,CartPole-v1,True,52,1051,221.0,221
cartpole_mse_lr0.0005_best,CartPole-v1,True,53,1052,224.0,224
cartpole_mse_lr0.0005_best,CartPole-v1,True,54,1053,378.0,378
cartpole_mse_lr0.0005_best,CartPole-v1,True,55,1054,215.0,215
cartpole_mse_lr0.0005_best,CartPole-v1,True,56,1055,302.0,302
cartpole_mse_lr0.0005_best,CartPole-v1,True,57,1056,308.0,308
cartpole_mse_lr0.0005_best,CartPole-v1,True,58,1057,228.0,228
cartpole_mse_lr0.0005_best,CartPole-v1,True,59,1058,213.0,213
cartpole_mse_lr0.0005_best,CartPole-v1,True,60,1059,285.0,285
cartpole_mse_lr0.0005_best,CartPole-v1,True,61,1060,286.0,286
cartpole_mse_lr0.0005_best,CartPole-v1,True,62,1061,324.0,324
cartpole_mse_lr0.0005_best,CartPole-v1,True,63,1062,326.0,326
cartpole_mse_lr0.0005_best,CartPole-v1,True,64,1063,500.0,500
cartpole_mse_lr0.0005_best,CartPole-v1,True,65,1064,204.0,204
cartpole_mse_lr0.0005_best,CartPole-v1,True,66,1065,281.0,281
cartpole_mse_lr0.0005_best,CartPole-v1,True,67,1066,211.0,211
cartpole_mse_lr0.0005_best,CartPole-v1,True,68,1067,242.0,242
cartpole_mse_lr0.0005_best,CartPole-v1,True,69,1068,240.0,240
cartpole_mse_lr0.0005_best,CartPole-v1,True,70,1069,256.0,256
cartpole_mse_lr0.0005_best,CartPole-v1,True,71,1070,202.0,202
cartpole_mse_lr0.0005_best,CartPole-v1,True,72,1071,202.0,202
cartpole_mse_lr0.0005_best,CartPole-v1,True,73,1072,267.0,267
cartpole_mse_lr0.0005_best,CartPole-v1,True,74,1073,258.0,258
cartpole_mse_lr0.0005_best,CartPole-v1,True,75,1074,254.0,254
cartpole_mse_lr0.0005_best,CartPole-v1,True,76,1075,245.0,245
cartpole_mse_lr0.0005_best,CartPole-v1,True,77,1076,388.0,388
cartpole_mse_lr0.0005_best,CartPole-v1,True,78,1077,290.0,290
cartpole_mse_lr0.0005_best,CartPole-v1,True,79,1078,221.0,221
cartpole_mse_lr0.0005_best,CartPole-v1,True,80,1079,234.0,234
cartpole_mse_lr0.0005_best,CartPole-v1,True,81,1080,500.0,500
cartpole_mse_lr0.0005_best,CartPole-v1,True,82,1081,238.0,238
cartpole_mse_lr0.0005_best,CartPole-v1,True,83,1082,312.0,312
cartpole_mse_lr0.0005_best,CartPole-v1,True,84,1083,197.0,197
cartpole_mse_lr0.0005_best,CartPole-v1,True,85,1084,302.0,302
cartpole_mse_lr0.0005_best,CartPole-v1,True,86,1085,420.0,420
cartpole_mse_lr0.0005_best,CartPole-v1,True,87,1086,287.0,287
cartpole_mse_lr0.0005_best,CartPole-v1,True,88,1087,259.0,259
cartpole_mse_lr0.0005_best,CartPole-v1,True,89,1088,321.0,321
cartpole_mse_lr0.0005_best,CartPole-v1,True,90,1089,246.0,246
cartpole_mse_lr0.0005_best,CartPole-v1,True,91,1090,284.0,284
cartpole_mse_lr0.0005_best,CartPole-v1,True,92,1091,245.0,245
cartpole_mse_lr0.0005_best,CartPole-v1,True,93,1092,215.0,215
cartpole_mse_lr0.0005_best,CartPole-v1,True,94,1093,494.0,494
cartpole_mse_lr0.0005_best,CartPole-v1,True,95,1094,275.0,275
cartpole_mse_lr0.0005_best,CartPole-v1,True,96,1095,267.0,267
cartpole_mse_lr0.0005_best,CartPole-v1,True,97,1096,262.0,262
cartpole_mse_lr0.0005_best,CartPole-v1,True,98,1097,240.0,240
cartpole_mse_lr0.0005_best,CartPole-v1,True,99,1098,284.0,284
cartpole_mse_lr0.0005_best,CartPole-v1,True,100,1099,239.0,239
cartpole_mse_lr0.0005_final,CartPole-v1,False,1,1000,220.0,220
cartpole_mse_lr0.0005_final,CartPole-v1,False,2,1001,199.0,199
cartpole_mse_lr0.0005_final,CartPole-v1,False,3,1002,234.0,234
cartpole_mse_lr0.0005_final,CartPole-v1,False,4,1003,201.0,201
cartpole_mse_lr0.0005_final,CartPole-v1,False,5,1004,174.0,174
cartpole_mse_lr0.0005_final,CartPole-v1,False,6,1005,196.0,196
